cc_number|cc_expiry|cc_provider|cc_ccv|cc_card_type|client_id|token
3537742087513506|02/15|Diners Club / Carte Blanche|958|Classic|7b89296c-6dcb-4c50-8857-7eb1924770d3|064587be9b7860ec9341715e758af2081c3c99a085abecdceabfb80137f570cc
4895867287160073|07/14|Mastercard|814|Gold|66b072b9-e5e2-40be-b621-03b4ac9e9032|67e1985bf3b9dc9824ba5786e100078942f8dd87bd170e43949f73c07e4a17cf
6011969194095519|03/32|Maestro|6592|Classic|b8d9e5ea-cd14-40eb-9df4-e921b847f03e|9e78b37bf32caca770e30ef63fde9043cc0e10a0adbca7df3492fef7f3e46efb
342296286161311|01/14|Discover|652|Gold|77ddb456-f69b-4ae6-8099-bc4ccf108ed3|99f5585deb7da99c88df653e58ecfbf798c72b6ad825b6aee2dea3e515791d5e
180082009038035|02/32|American Express|625|Classic|eee230a7-a29c-4ee2-8279-493993672832|cf505aeddaede0c02e799d0be88eb6e45bbd5777c5a3d155fb6c001b909fd7b3
4076550548906472160|09/31|VISA 19 digit|908|Platinum|96cd38a3-4c91-4962-957e-8b563f75f88b|6eead499f01935633c621d95427592df53abe9f8478e70eb92dfff641483d87c
060496022751|09/14|JCB 16 digit|823|Classic|32f86bf3-49de-4ff8-925c-e443c1d59550|8564192e151d7b9e328e3240ae6178077c1dca907a7d6d59076e304060096ef7
3500786884995492|04/17|VISA 13 digit|092|Classic|71166ec4-0ea1-4477-a2d4-2f62dde2a319|808380b17284fea4364060c1b0c8e29d77fd5c064f5b4477e873376534d05e75
3525057370979205|07/20|JCB 15 digit|9909|Gold|3170f481-92e4-49c7-97b5-6be929780a77|5834c87c6b0c9bee8558319b44f2fd99e0b9f03635ee2b03ccaed3810e87af2a
30381685480053|03/13|JCB 16 digit|243|Platinum|00248421-8ab1-446d-8e60-209b03fd60ac|071da1447de16abf2d0d8884916c2da0396207ce14357b7178414f409ac7e9ec
4606264252949886376|08/13|Discover|323|Platinum|c199ece5-52f6-49a8-883c-44aea8e1eb72|6a64943d8d333d1383523487e5aadbaf32027b277b396c856a98165dac3dfd03
4293170111017710|06/18|VISA 19 digit|2116|Gold|a644e379-2c40-4213-8ecc-4ea719b77f38|0e7e48fab72dd2299d5750c2b15fb198f2cad2dabd3bdc52f065678289f74c9f
6011412454983165|06/13|Diners Club / Carte Blanche|428|Platinum|e5a06364-2871-432c-924f-96a27ffcbe47|99b691189fa63943ab2cb1068379bf35f5202f6d534ce44174352e246c7b4caf
6011366289083569|05/22|Diners Club / Carte Blanche|222|Gold|ed6a591a-47f1-47fa-803e-b6a213d9a3d6|6301b5de5d6d928477769fbca1b64b2d73687a9fb9d7eaec73ba51a5f3a495e0
